,,"Transaction_Date_&_Time,Transaction_Value,Remarks,Transaction_Type,Age,Gender,Occupation,Industry"
Test1,62,"1/12/2020 16:49,17606,Credit Card Installment,Instant Transfer,77,Female,""Teacher, secondary school"",Automotive"
Test1,63,"2/29/2020 1:23,26041,Car Installment,Duitnow,50,Male,""Conservation officer, nature"",Defence"
Test1,64,"1/21/2020 2:39,18085,Credit Card Installment,Instant Transfer,75,Female,Barrister's clerk,Transport Network"
Test1,65,"2/15/2020 2:48,78751,Utility,Instant Transfer,64,Female,""Engineer, civil (consulting)"",Defence"
Test1,66,"3/11/2020 13:58,67861,Utility,Duitnow,98,Male,Personnel officer,Construction"
Test1,67,"2/29/2020 22:11,28951,Car Installment,Instant Transfer,96,Male,Technical author,Oil and Gas"
Test1,68,"1/27/2020 14:23,63386,House Installment,IBG,34,Male,Occupational therapist,Defence"
Test1,69,"1/21/2020 7:29,500,House Installment,Duitnow,28,Female,Pensions consultant,Automotive"
Test1,70,"1/2/2020 3:38,65839,Car Installment,Duitnow,36,Female,Estate agent,Automotive"
Test1,71,"5/9/2020 1:43,79046,House Installment,Instant Transfer,37,Male,Equality and diversity officer,Construction"
Test1,72,"4/20/2020 3:19,88096,Credit Card Installment,IBG,37,Male,""Accountant, chartered"",Medical Tourism"
Test1,73,"4/19/2020 17:01,48184,Transaction,Duitnow,65,Female,English as a foreign language teacher,Energy"
Test1,74,"1/18/2020 12:11,31105,Car Installment,Instant Transfer,42,Male,""Accountant, chartered public finance"",Construction"
Test1,75,"3/12/2020 12:08,65690,Car Installment,Instant Transfer,99,Male,Clinical embryologist,Transport Network"
Test1,76,"2/20/2020 7:12,77948,House Installment,IBG,24,Male,Systems analyst,Tourism"
Test1,77,"2/9/2020 19:18,19267,House Installment,Duitnow,91,Female,""Engineer, agricultural"",Construction"
Test1,78,"3/23/2020 11:25,30353,Car Installment,IBG,83,Female,Insurance broker,Defence"
Test1,79,"4/14/2020 6:15,98924,Utility,Duitnow,43,Male,Health service manager,Energy"
Test1,80,"4/22/2020 20:21,53338,House Installment,Instant Transfer,62,Male,""Engineer, materials"",Defence"
Test1,81,"2/21/2020 23:00,64421,House Installment,Duitnow,72,Male,Equality and diversity officer,Finance & Banking"
Test1,82,"4/27/2020 8:18,70247,Credit Card Installment,Instant Transfer,81,Male,Lobbyist,Energy"
Test1,83,"2/24/2020 16:10,54282,Transaction,Duitnow,26,Female,""Programmer, applications"",Transport Network"
Test1,84,"2/18/2020 21:35,13784,Utility,Instant Transfer,76,Male,Quality manager,Automotive"
Test1,85,"4/17/2020 10:08,77508,Car Installment,Instant Transfer,52,Male,Magazine journalist,Oil and Gas"
Test1,86,"2/18/2020 13:04,31363,Transaction,Duitnow,59,Female,""Administrator, local government"",Medical Tourism"
Test1,87,"1/8/2020 6:48,28730,Credit Card Installment,Duitnow,25,Female,Sub,Automotive"
Test1,88,"4/16/2020 2:45,77623,Credit Card Installment,IBG,83,Female,""Therapist, drama"",Eletrical & Electronic"
Test1,89,"1/9/2020 23:54,26905,Utility,Duitnow,58,Female,Camera operator,Energy"
Test1,90,"2/8/2020 9:58,84466,Utility,Instant Transfer,93,Male,""Engineer, drilling"",Construction"
Test1,91,"4/1/2020 5:10,11374,Car Installment,Duitnow,82,Female,Education administrator,Transport Network"
Test1,92,"3/8/2020 0:49,59895,Car Installment,Duitnow,66,Male,Chiropodist,Oil and Gas"
Test1,93,"3/31/2020 4:48,98981,Credit Card Installment,IBG,86,Female,Insurance risk surveyor,Automotive"
Test1,94,"3/16/2020 8:31,23217,Credit Card Installment,IBG,89,Male,Quality manager,Finance & Banking"
Test1,95,"1/7/2020 19:16,6533,Car Installment,Instant Transfer,44,Male,""Copywriter, advertising"",Transport Network"
Test1,96,"4/4/2020 6:09,23995,Utility,Instant Transfer,63,Male,Archivist,Eletrical & Electronic"
Test1,97,"2/10/2020 1:21,79977,Transaction,Instant Transfer,76,Female,Legal executive,Tourism"
Test1,98,"4/15/2020 5:53,50063,Transaction,Duitnow,94,Male,""Loss adjuster, chartered"",Defence"
Test1,99,"4/29/2020 0:53,29263,Car Installment,Instant Transfer,72,Male,Product manager,Finance & Banking"
Test1,100,"2/1/2020 23:55,35494,House Installment,Instant Transfer,63,Female,Trade union research officer,Tourism"
Test1,101,"2/19/2020 5:36,35121,Utility,IBG,64,Female,Dietitian,Energy"
Test1,102,"3/10/2020 5:16,17973,Credit Card Installment,Duitnow,98,Female,Radiation protection practitioner,Eletrical & Electronic"
Test1,103,"1/19/2020 16:14,11115,Utility,Duitnow,25,Male,Insurance underwriter,Finance & Banking"
Test1,104,"3/18/2020 17:33,1009,Transaction,Duitnow,43,Male,""Surveyor, building control"",Oil and Gas"
Test1,105,"2/21/2020 3:53,94352,Credit Card Installment,Duitnow,54,Female,Corporate investment banker,Transport Network"
Test1,106,"3/6/2020 2:20,35700,Car Installment,Duitnow,95,Female,""Radiographer, diagnostic"",Medical Tourism"
Test1,107,"2/9/2020 0:10,297,Credit Card Installment,Instant Transfer,66,Female,Adult nurse,Oil and Gas"
Test1,108,"1/15/2020 8:10,59016,Transaction,Instant Transfer,47,Male,Financial trader,Tourism"
Test1,109,"3/15/2020 12:41,41490,House Installment,Duitnow,23,Male,Public house manager,Finance & Banking"
Test1,110,"4/25/2020 19:47,45873,House Installment,IBG,38,Female,""Engineer, manufacturing"",Defence"
Test1,111,"2/27/2020 20:54,53775,Car Installment,IBG,72,Female,Learning disability nurse,Medical Tourism"
Test1,112,"1/10/2020 8:52,37290,Utility,Instant Transfer,60,Male,Professor Emeritus,Transport Network"
Test1,113,"1/12/2020 19:04,50672,Car Installment,Instant Transfer,78,Female,""Horticulturist, commercial"",Eletrical & Electronic"
Test1,114,"4/10/2020 9:50,68579,Car Installment,Duitnow,68,Female,Art gallery manager,Automotive"
Test1,115,"2/14/2020 19:55,21830,Utility,IBG,32,Male,Actor,Automotive"
Test1,116,"2/15/2020 23:46,84445,Utility,Instant Transfer,35,Female,Counselling psychologist,Finance & Banking"
Test1,117,"4/1/2020 16:25,85749,Credit Card Installment,Instant Transfer,54,Male,Patent attorney,Transport Network"
Test1,118,"4/2/2020 3:32,27399,Car Installment,IBG,94,Female,""Conservator, furniture"",Automotive"
Test1,119,"5/8/2020 1:21,15765,Credit Card Installment,Instant Transfer,79,Female,Ceramics designer,Energy"
Test1,120,"4/17/2020 14:06,65269,Transaction,Instant Transfer,85,Male,Actuary,Oil and Gas"
Test1,121,"2/24/2020 14:28,88138,House Installment,IBG,27,Female,Land/geomatics surveyor,Eletrical & Electronic"
Test1,122,"1/24/2020 13:17,78434,Utility,Instant Transfer,79,Female,Risk analyst,Finance & Banking"
Test1,123,"4/28/2020 15:11,32513,Utility,IBG,67,Female,International aid/development worker,Energy"
Test1,124,"3/1/2020 0:42,41021,Utility,IBG,38,Female,Academic librarian,Energy"
Test1,125,"4/10/2020 16:28,55993,House Installment,Instant Transfer,71,Male,Leisure centre manager,Finance & Banking"
Test1,126,"1/25/2020 23:26,82340,Utility,Instant Transfer,82,Female,Licensed conveyancer,Tourism"
Test1,127,"3/28/2020 11:02,29611,House Installment,Instant Transfer,21,Female,Maintenance engineer,Automotive"
Test1,128,"3/4/2020 3:45,54589,House Installment,Instant Transfer,36,Female,Early years teacher,Eletrical & Electronic"
Test1,129,"2/8/2020 20:19,26259,Transaction,Instant Transfer,32,Male,""Designer, television/film set"",Oil and Gas"
Test1,130,"3/26/2020 19:02,23119,Car Installment,Instant Transfer,84,Male,Tourist information centre manager,Defence"
Test1,131,"5/9/2020 3:21,50379,Transaction,IBG,74,Male,Building control surveyor,Oil and Gas"
Test1,132,"1/26/2020 16:51,23452,House Installment,Instant Transfer,20,Male,Optometrist,Defence"
Test1,133,"3/31/2020 19:21,23323,Utility,Duitnow,56,Female,Forest/woodland manager,Tourism"
Test1,134,"2/13/2020 9:14,98616,Credit Card Installment,Duitnow,75,Female,Systems developer,Transport Network"
Test1,135,"2/12/2020 13:52,96283,Car Installment,Instant Transfer,78,Male,Personal assistant,Medical Tourism"
Test1,136,"1/3/2020 6:53,54641,House Installment,IBG,35,Male,Police officer,Medical Tourism"
Test1,137,"1/25/2020 6:53,4140,Transaction,Instant Transfer,94,Male,Senior tax professional/tax inspector,Defence"
Test1,138,"1/27/2020 18:42,51349,Car Installment,Duitnow,46,Female,Trading standards officer,Transport Network"
Test1,139,"1/22/2020 8:02,31804,Utility,Instant Transfer,90,Male,""Surveyor, mining"",Automotive"
Test1,140,"5/10/2020 5:52,39410,Car Installment,IBG,88,Female,Fine artist,Defence"
Test1,141,"2/27/2020 20:24,82135,Car Installment,IBG,24,Female,""Civil engineer, consulting"",Transport Network"
Test1,142,"4/7/2020 23:41,28570,Transaction,IBG,39,Female,Radiation protection practitioner,Energy"
Test1,143,"4/17/2020 12:36,79581,Credit Card Installment,Duitnow,42,Female,Herbalist,Transport Network"
Test1,144,"5/9/2020 16:59,79740,Credit Card Installment,Instant Transfer,33,Male,Patent attorney,Eletrical & Electronic"
Test1,145,"4/21/2020 4:59,75378,Credit Card Installment,IBG,82,Male,Financial trader,Transport Network"
Test1,146,"3/30/2020 0:15,92491,Credit Card Installment,Instant Transfer,33,Female,Commissioning editor,Eletrical & Electronic"
Test1,147,"1/6/2020 17:24,64892,Transaction,Duitnow,92,Female,Civil Service administrator,Medical Tourism"
Test1,148,"2/9/2020 20:36,60356,Credit Card Installment,IBG,62,Female,""Engineer, electrical"",Finance & Banking"
Test1,149,"4/3/2020 9:03,69985,House Installment,Instant Transfer,38,Male,Financial risk analyst,Defence"
Test1,150,"1/20/2020 7:28,43897,Car Installment,Instant Transfer,40,Female,Product designer,Defence"
Test1,151,"2/8/2020 0:56,38612,Credit Card Installment,Duitnow,49,Female,""Chemist, analytical"",Oil and Gas"
Test1,152,"1/11/2020 8:56,62578,Car Installment,Instant Transfer,65,Female,IT sales professional,Finance & Banking"
Test1,153,"2/12/2020 13:41,36302,House Installment,IBG,86,Female,""Engineer, electrical"",Defence"
Test1,154,"5/12/2020 12:18,91645,Transaction,Duitnow,42,Female,""Editor, magazine features"",Transport Network"
Test1,155,"4/15/2020 2:17,96800,Transaction,Duitnow,42,Female,Water engineer,Construction"
Test1,156,"3/5/2020 9:59,4401,House Installment,Instant Transfer,57,Female,Civil Service fast streamer,Energy"
Test1,157,"3/25/2020 16:37,88484,House Installment,Instant Transfer,87,Male,""Production assistant, television"",Oil and Gas"
Test1,158,"2/23/2020 14:48,8954,Car Installment,Instant Transfer,68,Male,Garment/textile technologist,Construction"
Test1,159,"2/9/2020 15:09,59080,Utility,Instant Transfer,26,Female,Printmaker,Finance & Banking"
Test1,160,"4/15/2020 16:54,50445,Credit Card Installment,Instant Transfer,30,Female,Biomedical scientist,Automotive"
Test1,161,"4/12/2020 23:27,93202,Transaction,Instant Transfer,77,Female,Medical laboratory scientific officer,Finance & Banking"
Test1,162,"3/22/2020 22:04,99103,House Installment,IBG,21,Male,Regulatory affairs officer,Eletrical & Electronic"
Test1,163,"2/4/2020 1:01,82752,Transaction,Instant Transfer,52,Male,Exercise physiologist,Transport Network"
Test1,164,"4/13/2020 15:07,99380,Car Installment,IBG,58,Male,Food technologist,Tourism"
Test1,165,"1/22/2020 20:05,28989,Credit Card Installment,Duitnow,52,Male,Medical secretary,Energy"
Test1,166,"3/28/2020 9:18,26842,Transaction,Duitnow,63,Female,Town planner,Tourism"
Test1,167,"3/12/2020 13:18,14843,Transaction,Duitnow,51,Female,Environmental manager,Construction"
Test1,168,"4/20/2020 10:19,88859,House Installment,Duitnow,39,Female,""Exhibitions officer, museum/gallery"",Medical Tourism"
Test1,169,"2/27/2020 5:41,55174,Transaction,Instant Transfer,53,Male,Outdoor activities/education manager,Defence"
Test1,170,"4/17/2020 7:36,37788,Utility,Instant Transfer,31,Female,Regulatory affairs officer,Eletrical & Electronic"
Test1,171,"4/11/2020 22:35,36428,Utility,IBG,53,Female,Educational psychologist,Construction"
Test1,172,"2/17/2020 13:04,64074,Credit Card Installment,Instant Transfer,54,Female,Chief of Staff,Medical Tourism"
Test1,173,"5/12/2020 7:58,33613,Credit Card Installment,Duitnow,34,Male,Higher education lecturer,Automotive"
Test1,174,"1/17/2020 6:21,58406,Credit Card Installment,Duitnow,76,Male,Jewellery designer,Medical Tourism"
Test1,175,"3/23/2020 19:51,41792,Car Installment,Instant Transfer,79,Female,Editorial assistant,Defence"
Test1,176,"4/3/2020 20:18,92630,Utility,Instant Transfer,65,Male,Trade mark attorney,Eletrical & Electronic"
Test1,177,"1/14/2020 21:32,80414,Transaction,Duitnow,62,Male,Podiatrist,Finance & Banking"
Test1,178,"4/30/2020 11:49,4351,House Installment,IBG,84,Male,Personal assistant,Oil and Gas"
Test1,179,"2/19/2020 14:59,57955,Car Installment,Instant Transfer,40,Female,Tax adviser,Medical Tourism"
Test1,180,"2/5/2020 9:25,72702,Credit Card Installment,Duitnow,73,Male,Farm manager,Energy"
Test1,181,"3/9/2020 17:40,89799,House Installment,Instant Transfer,81,Female,""Scientist, physiological"",Automotive"
Test1,182,"2/8/2020 0:47,42407,Utility,IBG,58,Male,Mental health nurse,Oil and Gas"
Test1,183,"2/25/2020 20:27,57089,Transaction,IBG,39,Female,Financial trader,Eletrical & Electronic"
Test1,184,"1/29/2020 15:28,45616,House Installment,IBG,77,Female,Sports administrator,Defence"
Test1,185,"5/6/2020 5:52,30346,Car Installment,Duitnow,94,Male,""Engineer, building services"",Eletrical & Electronic"
Test1,186,"2/3/2020 8:23,51350,Car Installment,Instant Transfer,47,Female,Structural engineer,Medical Tourism"
Test1,187,"2/26/2020 21:32,3087,Transaction,Instant Transfer,81,Female,Sports therapist,Defence"
Test1,188,"4/10/2020 6:22,83490,Transaction,IBG,78,Male,""Therapist, horticultural"",Oil and Gas"
Test1,189,"3/29/2020 18:02,24702,Credit Card Installment,IBG,96,Male,Photographer,Energy"
Test1,190,"4/16/2020 19:41,52612,Transaction,Duitnow,46,Male,""Editor, film/video"",Automotive"
Test1,191,"3/19/2020 1:18,93805,Car Installment,Duitnow,23,Male,Sport and exercise psychologist,Construction"
Test1,192,"2/27/2020 21:57,33705,Credit Card Installment,Duitnow,94,Female,Race relations officer,Defence"
Test1,193,"3/9/2020 1:11,19402,Transaction,IBG,74,Male,Art gallery manager,Medical Tourism"
Test1,194,"1/6/2020 5:29,80554,House Installment,Duitnow,72,Male,Energy manager,Oil and Gas"
Test1,195,"1/9/2020 10:07,51901,Credit Card Installment,IBG,22,Male,Geophysical data processor,Defence"
Test1,196,"1/28/2020 22:19,72271,Utility,IBG,96,Female,Broadcast journalist,Defence"
Test1,197,"3/31/2020 3:41,26466,Car Installment,Duitnow,78,Female,Actuary,Eletrical & Electronic"
Test1,198,"4/7/2020 10:47,6094,Car Installment,Duitnow,92,Female,Chartered certified accountant,Energy"
Test1,199,"1/25/2020 18:27,17432,Car Installment,Duitnow,97,Female,Fisheries officer,Automotive"
Test1,200,"2/14/2020 7:40,81803,Utility,Instant Transfer,35,Male,Accommodation manager,Medical Tourism"
Test1,201,"3/8/2020 18:11,66111,Utility,Duitnow,81,Male,Event organiser,Eletrical & Electronic"
Test1,202,"1/4/2020 0:34,42522,Transaction,IBG,56,Female,Government social research officer,Finance & Banking"
Test1,203,"1/14/2020 0:56,53443,Transaction,Duitnow,46,Male,""Engineer, agricultural"",Medical Tourism"
Test1,204,"1/13/2020 21:05,39988,House Installment,Instant Transfer,62,Male,Psychotherapist,Oil and Gas"
Test1,205,"3/25/2020 22:08,53659,Car Installment,Instant Transfer,66,Male,Financial manager,Transport Network"
Test1,206,"3/15/2020 12:30,68710,House Installment,IBG,20,Male,Petroleum engineer,Medical Tourism"
Test1,207,"3/20/2020 23:40,67017,Transaction,IBG,94,Female,Environmental manager,Construction"
Test1,208,"2/25/2020 15:47,79432,Credit Card Installment,Instant Transfer,50,Male,Barista,Transport Network"
Test1,209,"3/8/2020 16:07,29299,Utility,Duitnow,71,Female,Data processing manager,Defence"
Test1,210,"4/24/2020 4:06,32331,Utility,Instant Transfer,57,Male,Legal secretary,Oil and Gas"
Test1,211,"1/23/2020 1:26,93071,Car Installment,Duitnow,89,Female,Travel agency manager,Defence"
Test1,212,"2/4/2020 5:57,17652,Utility,IBG,51,Male,Medical illustrator,Energy"
Test1,213,"4/3/2020 11:49,96342,House Installment,Duitnow,99,Male,""Psychologist, counselling"",Automotive"
Test1,214,"1/8/2020 15:18,67105,Utility,IBG,48,Female,Clothing/textile technologist,Energy"
Test1,215,"5/10/2020 1:07,27058,Credit Card Installment,Instant Transfer,24,Male,Arts administrator,Finance & Banking"
Test1,216,"1/8/2020 7:46,31567,House Installment,IBG,90,Male,Musician,Tourism"
Test1,217,"2/25/2020 16:54,59346,Credit Card Installment,Duitnow,39,Male,Futures trader,Finance & Banking"
Test1,218,"1/17/2020 0:18,87460,Utility,Duitnow,72,Female,Information systems manager,Defence"
Test1,219,"1/21/2020 5:38,71120,House Installment,Duitnow,29,Female,Outdoor activities/education manager,Finance & Banking"
Test1,220,"4/2/2020 12:24,22722,Utility,IBG,50,Male,Hydrographic surveyor,Transport Network"
Test1,221,"4/11/2020 13:43,64451,Credit Card Installment,Instant Transfer,74,Female,""Engineer, agricultural"",Tourism"
Test1,222,"4/25/2020 11:09,81395,Utility,IBG,38,Female,Film/video editor,Oil and Gas"
Test1,223,"1/30/2020 10:07,6223,House Installment,IBG,92,Male,Materials engineer,Medical Tourism"
Test1,224,"3/17/2020 3:08,52407,Utility,Duitnow,88,Male,""Scientist, research (life sciences)"",Finance & Banking"
Test1,225,"3/1/2020 15:54,93043,Transaction,Duitnow,65,Male,Diagnostic radiographer,Eletrical & Electronic"
Test1,226,"4/8/2020 4:29,88126,Credit Card Installment,IBG,60,Male,""Lecturer, higher education"",Energy"
Test1,227,"1/20/2020 13:52,73820,Utility,IBG,32,Male,Metallurgist,Transport Network"
Test1,228,"4/14/2020 6:45,94844,Car Installment,Instant Transfer,38,Female,Industrial/product designer,Tourism"
Test1,229,"1/26/2020 7:07,18477,Credit Card Installment,Duitnow,93,Male,""Therapist, occupational"",Finance & Banking"
Test1,230,"2/16/2020 1:50,82964,Car Installment,IBG,88,Male,Ergonomist,Eletrical & Electronic"
Test1,231,"3/3/2020 13:17,37827,Utility,Instant Transfer,64,Male,Secondary school teacher,Medical Tourism"
Test1,232,"4/14/2020 20:50,42854,Car Installment,IBG,70,Female,Phytotherapist,Medical Tourism"
Test1,233,"1/6/2020 10:48,7381,Credit Card Installment,IBG,59,Male,Public librarian,Transport Network"
Test1,234,"2/7/2020 21:05,57870,Transaction,Duitnow,87,Male,Trading standards officer,Tourism"
Test1,235,"3/26/2020 6:42,28532,Transaction,Duitnow,93,Male,Museum education officer,Construction"
Test1,236,"1/9/2020 23:06,90552,Utility,Instant Transfer,83,Male,Sport and exercise psychologist,Eletrical & Electronic"
Test1,237,"3/11/2020 9:04,91,Transaction,IBG,46,Female,""Accountant, chartered certified"",Tourism"
Test1,238,"4/23/2020 21:01,7435,House Installment,Duitnow,90,Male,Plant breeder/geneticist,Defence"
Test1,239,"2/25/2020 9:49,95926,House Installment,IBG,65,Female,Firefighter,Finance & Banking"
Test1,240,"2/8/2020 3:26,71680,House Installment,IBG,83,Male,Recycling officer,Medical Tourism"
Test1,241,"4/28/2020 22:12,8040,Utility,Instant Transfer,49,Male,""Horticulturist, amenity"",Defence"
Test1,242,"3/19/2020 10:07,14334,Utility,IBG,34,Female,Trading standards officer,Finance & Banking"
Test1,243,"4/12/2020 5:03,93803,Car Installment,Duitnow,74,Female,Hydrographic surveyor,Defence"
Test1,244,"2/3/2020 5:40,51925,Transaction,Duitnow,96,Female,Recycling officer,Defence"
Test1,245,"3/9/2020 20:07,20959,House Installment,Duitnow,85,Male,""Engineer, electronics"",Transport Network"
Test1,246,"2/7/2020 18:48,86649,Credit Card Installment,Duitnow,80,Male,""Engineer, electronics"",Medical Tourism"
Test1,247,"1/4/2020 23:23,33241,Credit Card Installment,IBG,73,Female,Barrister,Transport Network"
Test1,248,"4/17/2020 11:24,64221,Credit Card Installment,Duitnow,25,Female,Jewellery designer,Automotive"
Test1,249,"5/6/2020 4:59,92083,Transaction,Duitnow,57,Male,""Engineer, broadcasting (operations)"",Eletrical & Electronic"
Test1,250,"5/12/2020 9:58,57421,Utility,Duitnow,32,Male,""Engineer, agricultural"",Finance & Banking"
Test1,251,"3/22/2020 5:55,48031,Credit Card Installment,Duitnow,79,Male,Data processing manager,Medical Tourism"
Test1,252,"3/18/2020 0:56,37560,Utility,IBG,57,Male,""Pharmacist, community"",Eletrical & Electronic"
Test1,253,"1/28/2020 19:54,67640,House Installment,Duitnow,85,Male,Training and development officer,Defence"
Test1,254,"4/21/2020 23:31,91742,Car Installment,Instant Transfer,68,Female,Copy,Construction"
Test1,255,"4/1/2020 4:27,85717,House Installment,Duitnow,64,Female,""Engineer, petroleum"",Oil and Gas"
