Transaction_Date_&_Time,Transaction_Value,Remarks,Transaction_Type,Age,Gender,Occupation,Industry
1/2/2020 23:29,52797,House Installment,Duitnow,37,Male,Health and safety adviser,Construction
4/6/2020 15:01,79293,Car Installment,Instant Transfer,34,Male,Phytotherapist,Defence
2/16/2020 14:11,15650,Credit Card Installment,IBG,98,Male,Regulatory affairs officer,Oil and Gas
1/29/2020 10:21,38566,Utility,Duitnow,49,Female,"Optician, dispensing",Medical Tourism
5/10/2020 16:54,73663,House Installment,Instant Transfer,51,Female,Public relations account executive,Tourism
4/3/2020 1:36,34375,Utility,IBG,31,Male,Plant breeder/geneticist,Construction
5/12/2020 4:33,3180,Utility,IBG,31,Male,Hydrologist,Oil and Gas
2/28/2020 16:01,41234,Utility,Instant Transfer,74,Female,Quantity surveyor,Construction
1/12/2020 6:56,28806,Car Installment,Duitnow,36,Male,"Editor, film/video",Automotive
4/26/2020 9:41,18769,House Installment,IBG,59,Male,Database administrator,Medical Tourism
1/12/2020 10:15,37727,Transaction,Duitnow,90,Male,"Research officer, political party",Automotive
1/15/2020 14:22,81246,Credit Card Installment,Instant Transfer,65,Male,"Engineer, mining",Automotive
1/23/2020 9:59,28540,Car Installment,IBG,81,Male,"Scientist, forensic",Construction
3/15/2020 16:41,31599,Car Installment,Duitnow,35,Male,"Scientist, biomedical",Medical Tourism
3/13/2020 4:20,62140,Car Installment,Duitnow,27,Male,"Teacher, adult education",Tourism
3/19/2020 14:55,71274,Credit Card Installment,IBG,44,Male,Marine scientist,Eletrical & Electronic
3/4/2020 9:40,68208,Credit Card Installment,IBG,80,Male,Optometrist,Oil and Gas
1/27/2020 10:48,4459,Credit Card Installment,IBG,57,Male,Health visitor,Eletrical & Electronic
5/10/2020 19:55,61106,Credit Card Installment,Instant Transfer,80,Male,IT technical support officer,Eletrical & Electronic
2/18/2020 6:31,22456,Transaction,Instant Transfer,49,Female,"Psychologist, prison and probation services",Construction
4/17/2020 20:38,61430,Transaction,IBG,52,Female,IT trainer,Defence
4/21/2020 16:27,5502,Car Installment,IBG,45,Male,Warehouse manager,Transport Network
2/25/2020 15:08,63151,Utility,IBG,48,Male,"Engineer, maintenance (IT)",Tourism
2/5/2020 16:56,65511,Utility,Duitnow,90,Male,"Journalist, newspaper",Eletrical & Electronic
4/14/2020 8:51,70846,Credit Card Installment,Duitnow,57,Female,Textile designer,Energy
3/13/2020 6:18,15973,Credit Card Installment,Instant Transfer,80,Female,Insurance account manager,Construction
4/8/2020 13:57,34141,Transaction,Instant Transfer,95,Male,Theatre stage manager,Finance & Banking
5/6/2020 16:32,11663,Credit Card Installment,Instant Transfer,21,Female,"Engineer, building services",Finance & Banking
1/14/2020 19:15,11736,Utility,IBG,42,Female,Cytogeneticist,Defence
2/14/2020 1:48,19912,House Installment,Duitnow,18,Female,Housing manager/officer,Transport Network
5/6/2020 23:12,6374,Utility,Duitnow,70,Female,Cabin crew,Eletrical & Electronic
4/21/2020 15:12,24305,Car Installment,Duitnow,93,Female,"Psychotherapist, dance movement",Transport Network
3/21/2020 3:51,65243,Utility,IBG,28,Female,Art therapist,Energy
1/12/2020 16:49,17606,Credit Card Installment,Instant Transfer,77,Female,"Teacher, secondary school",Automotive
2/29/2020 1:23,26041,Car Installment,Duitnow,50,Male,"Conservation officer, nature",Defence
1/21/2020 2:39,18085,Credit Card Installment,Instant Transfer,75,Female,Barrister's clerk,Transport Network
2/15/2020 2:48,78751,Utility,Instant Transfer,64,Female,"Engineer, civil (consulting)",Defence
3/11/2020 13:58,67861,Utility,Duitnow,98,Male,Personnel officer,Construction
2/29/2020 22:11,28951,Car Installment,Instant Transfer,96,Male,Technical author,Oil and Gas
1/27/2020 14:23,63386,House Installment,IBG,34,Male,Occupational therapist,Defence
1/21/2020 7:29,500,House Installment,Duitnow,28,Female,Pensions consultant,Automotive
1/2/2020 3:38,65839,Car Installment,Duitnow,36,Female,Estate agent,Automotive
5/9/2020 1:43,79046,House Installment,Instant Transfer,37,Male,Equality and diversity officer,Construction
4/20/2020 3:19,88096,Credit Card Installment,IBG,37,Male,"Accountant, chartered",Medical Tourism
4/19/2020 17:01,48184,Transaction,Duitnow,65,Female,English as a foreign language teacher,Energy
1/18/2020 12:11,31105,Car Installment,Instant Transfer,42,Male,"Accountant, chartered public finance",Construction
3/12/2020 12:08,65690,Car Installment,Instant Transfer,99,Male,Clinical embryologist,Transport Network
2/20/2020 7:12,77948,House Installment,IBG,24,Male,Systems analyst,Tourism
2/9/2020 19:18,19267,House Installment,Duitnow,91,Female,"Engineer, agricultural",Construction
3/23/2020 11:25,30353,Car Installment,IBG,83,Female,Insurance broker,Defence
4/14/2020 6:15,98924,Utility,Duitnow,43,Male,Health service manager,Energy
4/22/2020 20:21,53338,House Installment,Instant Transfer,62,Male,"Engineer, materials",Defence
2/21/2020 23:00,64421,House Installment,Duitnow,72,Male,Equality and diversity officer,Finance & Banking
4/27/2020 8:18,70247,Credit Card Installment,Instant Transfer,81,Male,Lobbyist,Energy
2/24/2020 16:10,54282,Transaction,Duitnow,26,Female,"Programmer, applications",Transport Network
2/18/2020 21:35,13784,Utility,Instant Transfer,76,Male,Quality manager,Automotive
4/17/2020 10:08,77508,Car Installment,Instant Transfer,52,Male,Magazine journalist,Oil and Gas
2/18/2020 13:04,31363,Transaction,Duitnow,59,Female,"Administrator, local government",Medical Tourism
1/8/2020 6:48,28730,Credit Card Installment,Duitnow,25,Female,Sub,Automotive
4/16/2020 2:45,77623,Credit Card Installment,IBG,83,Female,"Therapist, drama",Eletrical & Electronic
1/9/2020 23:54,26905,Utility,Duitnow,58,Female,Camera operator,Energy
2/8/2020 9:58,84466,Utility,Instant Transfer,93,Male,"Engineer, drilling",Construction
4/1/2020 5:10,11374,Car Installment,Duitnow,82,Female,Education administrator,Transport Network
3/8/2020 0:49,59895,Car Installment,Duitnow,66,Male,Chiropodist,Oil and Gas
3/31/2020 4:48,98981,Credit Card Installment,IBG,86,Female,Insurance risk surveyor,Automotive
3/16/2020 8:31,23217,Credit Card Installment,IBG,89,Male,Quality manager,Finance & Banking
1/7/2020 19:16,6533,Car Installment,Instant Transfer,44,Male,"Copywriter, advertising",Transport Network
4/4/2020 6:09,23995,Utility,Instant Transfer,63,Male,Archivist,Eletrical & Electronic
2/10/2020 1:21,79977,Transaction,Instant Transfer,76,Female,Legal executive,Tourism
4/15/2020 5:53,50063,Transaction,Duitnow,94,Male,"Loss adjuster, chartered",Defence
4/29/2020 0:53,29263,Car Installment,Instant Transfer,72,Male,Product manager,Finance & Banking
2/1/2020 23:55,35494,House Installment,Instant Transfer,63,Female,Trade union research officer,Tourism
2/19/2020 5:36,35121,Utility,IBG,64,Female,Dietitian,Energy
3/10/2020 5:16,17973,Credit Card Installment,Duitnow,98,Female,Radiation protection practitioner,Eletrical & Electronic
1/19/2020 16:14,11115,Utility,Duitnow,25,Male,Insurance underwriter,Finance & Banking
3/18/2020 17:33,1009,Transaction,Duitnow,43,Male,"Surveyor, building control",Oil and Gas
2/21/2020 3:53,94352,Credit Card Installment,Duitnow,54,Female,Corporate investment banker,Transport Network
3/6/2020 2:20,35700,Car Installment,Duitnow,95,Female,"Radiographer, diagnostic",Medical Tourism
2/9/2020 0:10,297,Credit Card Installment,Instant Transfer,66,Female,Adult nurse,Oil and Gas
1/15/2020 8:10,59016,Transaction,Instant Transfer,47,Male,Financial trader,Tourism
3/15/2020 12:41,41490,House Installment,Duitnow,23,Male,Public house manager,Finance & Banking
4/25/2020 19:47,45873,House Installment,IBG,38,Female,"Engineer, manufacturing",Defence
2/27/2020 20:54,53775,Car Installment,IBG,72,Female,Learning disability nurse,Medical Tourism
1/10/2020 8:52,37290,Utility,Instant Transfer,60,Male,Professor Emeritus,Transport Network
1/12/2020 19:04,50672,Car Installment,Instant Transfer,78,Female,"Horticulturist, commercial",Eletrical & Electronic
4/10/2020 9:50,68579,Car Installment,Duitnow,68,Female,Art gallery manager,Automotive
2/14/2020 19:55,21830,Utility,IBG,32,Male,Actor,Automotive
2/15/2020 23:46,84445,Utility,Instant Transfer,35,Female,Counselling psychologist,Finance & Banking
4/1/2020 16:25,85749,Credit Card Installment,Instant Transfer,54,Male,Patent attorney,Transport Network
4/2/2020 3:32,27399,Car Installment,IBG,94,Female,"Conservator, furniture",Automotive
5/8/2020 1:21,15765,Credit Card Installment,Instant Transfer,79,Female,Ceramics designer,Energy
4/17/2020 14:06,65269,Transaction,Instant Transfer,85,Male,Actuary,Oil and Gas
2/24/2020 14:28,88138,House Installment,IBG,27,Female,Land/geomatics surveyor,Eletrical & Electronic
1/24/2020 13:17,78434,Utility,Instant Transfer,79,Female,Risk analyst,Finance & Banking
4/28/2020 15:11,32513,Utility,IBG,67,Female,International aid/development worker,Energy
3/1/2020 0:42,41021,Utility,IBG,38,Female,Academic librarian,Energy
4/10/2020 16:28,55993,House Installment,Instant Transfer,71,Male,Leisure centre manager,Finance & Banking
1/25/2020 23:26,82340,Utility,Instant Transfer,82,Female,Licensed conveyancer,Tourism
3/28/2020 11:02,29611,House Installment,Instant Transfer,21,Female,Maintenance engineer,Automotive
3/4/2020 3:45,54589,House Installment,Instant Transfer,36,Female,Early years teacher,Eletrical & Electronic
2/8/2020 20:19,26259,Transaction,Instant Transfer,32,Male,"Designer, television/film set",Oil and Gas
3/26/2020 19:02,23119,Car Installment,Instant Transfer,84,Male,Tourist information centre manager,Defence
5/9/2020 3:21,50379,Transaction,IBG,74,Male,Building control surveyor,Oil and Gas
1/26/2020 16:51,23452,House Installment,Instant Transfer,20,Male,Optometrist,Defence
3/31/2020 19:21,23323,Utility,Duitnow,56,Female,Forest/woodland manager,Tourism
2/13/2020 9:14,98616,Credit Card Installment,Duitnow,75,Female,Systems developer,Transport Network
2/12/2020 13:52,96283,Car Installment,Instant Transfer,78,Male,Personal assistant,Medical Tourism
1/3/2020 6:53,54641,House Installment,IBG,35,Male,Police officer,Medical Tourism
1/25/2020 6:53,4140,Transaction,Instant Transfer,94,Male,Senior tax professional/tax inspector,Defence
1/27/2020 18:42,51349,Car Installment,Duitnow,46,Female,Trading standards officer,Transport Network
1/22/2020 8:02,31804,Utility,Instant Transfer,90,Male,"Surveyor, mining",Automotive
5/10/2020 5:52,39410,Car Installment,IBG,88,Female,Fine artist,Defence
2/27/2020 20:24,82135,Car Installment,IBG,24,Female,"Civil engineer, consulting",Transport Network
4/7/2020 23:41,28570,Transaction,IBG,39,Female,Radiation protection practitioner,Energy
4/17/2020 12:36,79581,Credit Card Installment,Duitnow,42,Female,Herbalist,Transport Network
5/9/2020 16:59,79740,Credit Card Installment,Instant Transfer,33,Male,Patent attorney,Eletrical & Electronic
4/21/2020 4:59,75378,Credit Card Installment,IBG,82,Male,Financial trader,Transport Network
3/30/2020 0:15,92491,Credit Card Installment,Instant Transfer,33,Female,Commissioning editor,Eletrical & Electronic
1/6/2020 17:24,64892,Transaction,Duitnow,92,Female,Civil Service administrator,Medical Tourism
2/9/2020 20:36,60356,Credit Card Installment,IBG,62,Female,"Engineer, electrical",Finance & Banking
4/3/2020 9:03,69985,House Installment,Instant Transfer,38,Male,Financial risk analyst,Defence
1/20/2020 7:28,43897,Car Installment,Instant Transfer,40,Female,Product designer,Defence
2/8/2020 0:56,38612,Credit Card Installment,Duitnow,49,Female,"Chemist, analytical",Oil and Gas
1/11/2020 8:56,62578,Car Installment,Instant Transfer,65,Female,IT sales professional,Finance & Banking
2/12/2020 13:41,36302,House Installment,IBG,86,Female,"Engineer, electrical",Defence
5/12/2020 12:18,91645,Transaction,Duitnow,42,Female,"Editor, magazine features",Transport Network
4/15/2020 2:17,96800,Transaction,Duitnow,42,Female,Water engineer,Construction
3/5/2020 9:59,4401,House Installment,Instant Transfer,57,Female,Civil Service fast streamer,Energy
3/25/2020 16:37,88484,House Installment,Instant Transfer,87,Male,"Production assistant, television",Oil and Gas
2/23/2020 14:48,8954,Car Installment,Instant Transfer,68,Male,Garment/textile technologist,Construction
2/9/2020 15:09,59080,Utility,Instant Transfer,26,Female,Printmaker,Finance & Banking
4/15/2020 16:54,50445,Credit Card Installment,Instant Transfer,30,Female,Biomedical scientist,Automotive
4/12/2020 23:27,93202,Transaction,Instant Transfer,77,Female,Medical laboratory scientific officer,Finance & Banking
3/22/2020 22:04,99103,House Installment,IBG,21,Male,Regulatory affairs officer,Eletrical & Electronic
2/4/2020 1:01,82752,Transaction,Instant Transfer,52,Male,Exercise physiologist,Transport Network
4/13/2020 15:07,99380,Car Installment,IBG,58,Male,Food technologist,Tourism
1/22/2020 20:05,28989,Credit Card Installment,Duitnow,52,Male,Medical secretary,Energy
3/28/2020 9:18,26842,Transaction,Duitnow,63,Female,Town planner,Tourism
3/12/2020 13:18,14843,Transaction,Duitnow,51,Female,Environmental manager,Construction
4/20/2020 10:19,88859,House Installment,Duitnow,39,Female,"Exhibitions officer, museum/gallery",Medical Tourism
2/27/2020 5:41,55174,Transaction,Instant Transfer,53,Male,Outdoor activities/education manager,Defence
4/17/2020 7:36,37788,Utility,Instant Transfer,31,Female,Regulatory affairs officer,Eletrical & Electronic
4/11/2020 22:35,36428,Utility,IBG,53,Female,Educational psychologist,Construction
2/17/2020 13:04,64074,Credit Card Installment,Instant Transfer,54,Female,Chief of Staff,Medical Tourism
5/12/2020 7:58,33613,Credit Card Installment,Duitnow,34,Male,Higher education lecturer,Automotive
1/17/2020 6:21,58406,Credit Card Installment,Duitnow,76,Male,Jewellery designer,Medical Tourism
3/23/2020 19:51,41792,Car Installment,Instant Transfer,79,Female,Editorial assistant,Defence
4/3/2020 20:18,92630,Utility,Instant Transfer,65,Male,Trade mark attorney,Eletrical & Electronic
1/14/2020 21:32,80414,Transaction,Duitnow,62,Male,Podiatrist,Finance & Banking
4/30/2020 11:49,4351,House Installment,IBG,84,Male,Personal assistant,Oil and Gas
2/19/2020 14:59,57955,Car Installment,Instant Transfer,40,Female,Tax adviser,Medical Tourism
2/5/2020 9:25,72702,Credit Card Installment,Duitnow,73,Male,Farm manager,Energy
3/9/2020 17:40,89799,House Installment,Instant Transfer,81,Female,"Scientist, physiological",Automotive
2/8/2020 0:47,42407,Utility,IBG,58,Male,Mental health nurse,Oil and Gas
2/25/2020 20:27,57089,Transaction,IBG,39,Female,Financial trader,Eletrical & Electronic
1/29/2020 15:28,45616,House Installment,IBG,77,Female,Sports administrator,Defence
5/6/2020 5:52,30346,Car Installment,Duitnow,94,Male,"Engineer, building services",Eletrical & Electronic
2/3/2020 8:23,51350,Car Installment,Instant Transfer,47,Female,Structural engineer,Medical Tourism
2/26/2020 21:32,3087,Transaction,Instant Transfer,81,Female,Sports therapist,Defence
4/10/2020 6:22,83490,Transaction,IBG,78,Male,"Therapist, horticultural",Oil and Gas
3/29/2020 18:02,24702,Credit Card Installment,IBG,96,Male,Photographer,Energy
4/16/2020 19:41,52612,Transaction,Duitnow,46,Male,"Editor, film/video",Automotive
3/19/2020 1:18,93805,Car Installment,Duitnow,23,Male,Sport and exercise psychologist,Construction
2/27/2020 21:57,33705,Credit Card Installment,Duitnow,94,Female,Race relations officer,Defence
3/9/2020 1:11,19402,Transaction,IBG,74,Male,Art gallery manager,Medical Tourism
1/6/2020 5:29,80554,House Installment,Duitnow,72,Male,Energy manager,Oil and Gas
1/9/2020 10:07,51901,Credit Card Installment,IBG,22,Male,Geophysical data processor,Defence
1/28/2020 22:19,72271,Utility,IBG,96,Female,Broadcast journalist,Defence
3/31/2020 3:41,26466,Car Installment,Duitnow,78,Female,Actuary,Eletrical & Electronic
4/7/2020 10:47,6094,Car Installment,Duitnow,92,Female,Chartered certified accountant,Energy
1/25/2020 18:27,17432,Car Installment,Duitnow,97,Female,Fisheries officer,Automotive
2/14/2020 7:40,81803,Utility,Instant Transfer,35,Male,Accommodation manager,Medical Tourism
3/8/2020 18:11,66111,Utility,Duitnow,81,Male,Event organiser,Eletrical & Electronic
1/4/2020 0:34,42522,Transaction,IBG,56,Female,Government social research officer,Finance & Banking
1/14/2020 0:56,53443,Transaction,Duitnow,46,Male,"Engineer, agricultural",Medical Tourism
1/13/2020 21:05,39988,House Installment,Instant Transfer,62,Male,Psychotherapist,Oil and Gas
3/25/2020 22:08,53659,Car Installment,Instant Transfer,66,Male,Financial manager,Transport Network
3/15/2020 12:30,68710,House Installment,IBG,20,Male,Petroleum engineer,Medical Tourism
3/20/2020 23:40,67017,Transaction,IBG,94,Female,Environmental manager,Construction
2/25/2020 15:47,79432,Credit Card Installment,Instant Transfer,50,Male,Barista,Transport Network
3/8/2020 16:07,29299,Utility,Duitnow,71,Female,Data processing manager,Defence
4/24/2020 4:06,32331,Utility,Instant Transfer,57,Male,Legal secretary,Oil and Gas
1/23/2020 1:26,93071,Car Installment,Duitnow,89,Female,Travel agency manager,Defence
2/4/2020 5:57,17652,Utility,IBG,51,Male,Medical illustrator,Energy
4/3/2020 11:49,96342,House Installment,Duitnow,99,Male,"Psychologist, counselling",Automotive
1/8/2020 15:18,67105,Utility,IBG,48,Female,Clothing/textile technologist,Energy
5/10/2020 1:07,27058,Credit Card Installment,Instant Transfer,24,Male,Arts administrator,Finance & Banking
1/8/2020 7:46,31567,House Installment,IBG,90,Male,Musician,Tourism
2/25/2020 16:54,59346,Credit Card Installment,Duitnow,39,Male,Futures trader,Finance & Banking
1/17/2020 0:18,87460,Utility,Duitnow,72,Female,Information systems manager,Defence
1/21/2020 5:38,71120,House Installment,Duitnow,29,Female,Outdoor activities/education manager,Finance & Banking
4/2/2020 12:24,22722,Utility,IBG,50,Male,Hydrographic surveyor,Transport Network
4/11/2020 13:43,64451,Credit Card Installment,Instant Transfer,74,Female,"Engineer, agricultural",Tourism
4/25/2020 11:09,81395,Utility,IBG,38,Female,Film/video editor,Oil and Gas
1/30/2020 10:07,6223,House Installment,IBG,92,Male,Materials engineer,Medical Tourism
3/17/2020 3:08,52407,Utility,Duitnow,88,Male,"Scientist, research (life sciences)",Finance & Banking
3/1/2020 15:54,93043,Transaction,Duitnow,65,Male,Diagnostic radiographer,Eletrical & Electronic
4/8/2020 4:29,88126,Credit Card Installment,IBG,60,Male,"Lecturer, higher education",Energy
1/20/2020 13:52,73820,Utility,IBG,32,Male,Metallurgist,Transport Network
4/14/2020 6:45,94844,Car Installment,Instant Transfer,38,Female,Industrial/product designer,Tourism
1/26/2020 7:07,18477,Credit Card Installment,Duitnow,93,Male,"Therapist, occupational",Finance & Banking
2/16/2020 1:50,82964,Car Installment,IBG,88,Male,Ergonomist,Eletrical & Electronic
3/3/2020 13:17,37827,Utility,Instant Transfer,64,Male,Secondary school teacher,Medical Tourism
4/14/2020 20:50,42854,Car Installment,IBG,70,Female,Phytotherapist,Medical Tourism
1/6/2020 10:48,7381,Credit Card Installment,IBG,59,Male,Public librarian,Transport Network
2/7/2020 21:05,57870,Transaction,Duitnow,87,Male,Trading standards officer,Tourism
3/26/2020 6:42,28532,Transaction,Duitnow,93,Male,Museum education officer,Construction
1/9/2020 23:06,90552,Utility,Instant Transfer,83,Male,Sport and exercise psychologist,Eletrical & Electronic
3/11/2020 9:04,91,Transaction,IBG,46,Female,"Accountant, chartered certified",Tourism
4/23/2020 21:01,7435,House Installment,Duitnow,90,Male,Plant breeder/geneticist,Defence
2/25/2020 9:49,95926,House Installment,IBG,65,Female,Firefighter,Finance & Banking
2/8/2020 3:26,71680,House Installment,IBG,83,Male,Recycling officer,Medical Tourism
4/28/2020 22:12,8040,Utility,Instant Transfer,49,Male,"Horticulturist, amenity",Defence
3/19/2020 10:07,14334,Utility,IBG,34,Female,Trading standards officer,Finance & Banking
4/12/2020 5:03,93803,Car Installment,Duitnow,74,Female,Hydrographic surveyor,Defence
2/3/2020 5:40,51925,Transaction,Duitnow,96,Female,Recycling officer,Defence
3/9/2020 20:07,20959,House Installment,Duitnow,85,Male,"Engineer, electronics",Transport Network
2/7/2020 18:48,86649,Credit Card Installment,Duitnow,80,Male,"Engineer, electronics",Medical Tourism
1/4/2020 23:23,33241,Credit Card Installment,IBG,73,Female,Barrister,Transport Network
4/17/2020 11:24,64221,Credit Card Installment,Duitnow,25,Female,Jewellery designer,Automotive
5/6/2020 4:59,92083,Transaction,Duitnow,57,Male,"Engineer, broadcasting (operations)",Eletrical & Electronic
5/12/2020 9:58,57421,Utility,Duitnow,32,Male,"Engineer, agricultural",Finance & Banking
3/22/2020 5:55,48031,Credit Card Installment,Duitnow,79,Male,Data processing manager,Medical Tourism
3/18/2020 0:56,37560,Utility,IBG,57,Male,"Pharmacist, community",Eletrical & Electronic
1/28/2020 19:54,67640,House Installment,Duitnow,85,Male,Training and development officer,Defence
4/21/2020 23:31,91742,Car Installment,Instant Transfer,68,Female,Copy,Construction
4/1/2020 4:27,85717,House Installment,Duitnow,64,Female,"Engineer, petroleum",Oil and Gas
1/4/2020 18:35,21389,House Installment,Instant Transfer,84,Female,Financial planner,Eletrical & Electronic
1/23/2020 8:44,75143,Car Installment,Duitnow,83,Male,"Psychologist, educational",Oil and Gas
4/4/2020 19:32,97454,Car Installment,IBG,95,Female,Environmental health practitioner,Oil and Gas
3/26/2020 14:47,28225,House Installment,IBG,75,Female,"Exhibitions officer, museum/gallery",Finance & Banking
1/9/2020 15:13,76203,House Installment,Instant Transfer,57,Male,Insurance broker,Construction
3/7/2020 11:47,56340,Utility,Duitnow,20,Female,Human resources officer,Transport Network
3/9/2020 7:13,45467,Credit Card Installment,Duitnow,27,Female,Health and safety adviser,Defence
1/9/2020 17:47,26115,Car Installment,Instant Transfer,78,Male,Field trials officer,Energy
1/20/2020 6:58,246,Car Installment,Instant Transfer,37,Male,Research scientist (life sciences),Construction
1/26/2020 11:40,72816,Utility,Instant Transfer,66,Female,"Nurse, children's",Energy
2/27/2020 9:23,1293,Credit Card Installment,Instant Transfer,72,Male,Investment analyst,Automotive
2/13/2020 4:37,95383,Credit Card Installment,Instant Transfer,77,Male,"Librarian, public",Construction
4/21/2020 15:22,19042,Transaction,Duitnow,18,Male,Outdoor activities/education manager,Transport Network
2/28/2020 4:20,99914,Credit Card Installment,Duitnow,40,Female,Community arts worker,Construction
3/10/2020 5:12,63869,House Installment,IBG,44,Female,Customer service manager,Construction
1/8/2020 6:49,28214,Car Installment,Duitnow,61,Female,Retail banker,Tourism
2/5/2020 15:40,16926,Car Installment,IBG,43,Female,Arboriculturist,Construction
4/4/2020 3:26,9874,Car Installment,Instant Transfer,67,Male,Manufacturing systems engineer,Oil and Gas
3/5/2020 2:04,15379,Transaction,Instant Transfer,62,Male,Educational psychologist,Tourism
1/9/2020 5:58,22042,Transaction,Instant Transfer,56,Female,"Production designer, theatre/television/film",Transport Network
2/16/2020 22:44,45849,Utility,Instant Transfer,99,Female,Water engineer,Eletrical & Electronic
5/6/2020 17:00,54678,House Installment,Instant Transfer,99,Male,Administrator,Construction
3/26/2020 9:22,10778,Transaction,Duitnow,74,Male,Network engineer,Finance & Banking
5/12/2020 6:35,94268,House Installment,Duitnow,61,Female,Tax adviser,Finance & Banking
1/5/2020 11:20,28321,Utility,IBG,74,Male,Production engineer,Finance & Banking
2/6/2020 15:28,36412,Credit Card Installment,Instant Transfer,24,Female,"Surveyor, planning and development",Defence
3/19/2020 18:02,27635,Car Installment,IBG,85,Male,Fitness centre manager,Medical Tourism
5/12/2020 1:43,12885,Transaction,Instant Transfer,27,Female,Production manager,Medical Tourism
1/16/2020 17:47,87995,Transaction,Duitnow,34,Female,Licensed conveyancer,Tourism
1/9/2020 13:01,41775,Transaction,Duitnow,36,Female,"Social research officer, government",Automotive
2/10/2020 23:44,31214,Utility,IBG,71,Male,"Scientist, clinical (histocompatibility and immunogenetics)",Tourism
5/10/2020 4:37,57744,Utility,IBG,60,Female,"Editor, commissioning",Medical Tourism
3/24/2020 7:33,33157,Car Installment,IBG,81,Male,Tax adviser,Energy
1/4/2020 5:24,11876,Credit Card Installment,IBG,92,Male,Youth worker,Eletrical & Electronic
1/9/2020 21:50,61309,Car Installment,Instant Transfer,90,Male,"Scientist, biomedical",Transport Network
2/17/2020 17:41,99156,House Installment,Instant Transfer,93,Male,Regulatory affairs officer,Transport Network
3/29/2020 17:44,9053,Utility,Duitnow,61,Female,"Programmer, multimedia",Finance & Banking
3/30/2020 5:07,18583,House Installment,Duitnow,73,Female,Dispensing optician,Eletrical & Electronic
4/12/2020 9:13,39205,Utility,Instant Transfer,42,Male,Office manager,Defence
2/20/2020 11:04,8702,Credit Card Installment,IBG,32,Male,"Research officer, government",Construction
2/26/2020 14:36,98631,Utility,Duitnow,41,Female,Agricultural consultant,Oil and Gas
2/21/2020 21:36,29003,House Installment,Duitnow,97,Female,Financial manager,Transport Network
3/2/2020 5:02,31892,Utility,Duitnow,59,Male,Housing manager/officer,Construction
2/27/2020 9:10,6489,Credit Card Installment,Instant Transfer,84,Male,TEFL teacher,Oil and Gas
4/9/2020 4:44,55527,Credit Card Installment,Instant Transfer,81,Male,Financial planner,Automotive
1/28/2020 13:16,37254,Utility,Instant Transfer,35,Female,"Engineer, manufacturing systems",Tourism
